b1\b2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,429.946227,439.914913,449.752269,459.307954,468.446309,477.094556,485.242953,493.127390,500.794392,508.285317,515.476407,522.263371,528.944080,535.174315,540.912182,545.819588,547.592563,552.187854,556.390816,560.303318,563.860794
1,439.914913,449.811925,459.648820,469.203253,478.339215,486.983812,495.127391,502.794393,510.285318,517.476408,524.263372,530.944081,537.174316,542.912183,547.819588,552.011605,554.187854,558.390816,562.303318,565.860794,569.136057
2,449.811926,459.648821,469.214090,478.763394,487.889530,496.519073,504.642687,512.285319,519.476409,526.263373,532.944082,539.174317,544.912184,549.819588,554.011605,557.585583,560.390817,564.303319,567.860795,571.136058,574.175980
3,459.379077,469.214091,478.763395,487.889531,496.871859,505.468272,513.547727,521.136266,528.263374,534.944083,541.174318,546.912185,551.819589,556.011606,559.585583,562.593521,566.303320,569.860796,573.136058,576.175980,578.991020
4,468.398275,478.229174,487.767261,496.871860,505.468273,513.732222,521.740935,529.242460,536.266571,542.825953,548.912186,553.819590,558.011607,561.585583,564.593522,568.303320,571.860797,575.136059,578.175981,580.991021,583.551084
5,476.774008,486.598296,496.118448,505.188694,513.732223,521.740936,529.252624,536.637834,543.524152,549.922108,555.819591,560.011607,563.585584,566.593522,570.303321,573.860797,577.136060,580.175982,582.991022,585.551084,587.832217
6,484.598296,494.345529,503.841362,512.865446,521.338311,529.252625,536.637834,543.524153,550.132897,556.337131,562.011608,565.585585,568.593523,571.796411,575.458939,578.796169,581.881787,584.755223,587.417331,589.832218,591.936232
7,492.345530,501.841363,511.015791,519.982598,528.368887,536.168524,543.412975,550.132898,556.337132,562.161394,567.585586,570.593524,573.051014,576.539229,579.951247,583.068783,585.962456,588.662852,591.161913,593.419376,595.373821
8,499.841363,509.015792,517.982599,526.621412,534.904667,542.569656,549.650487,556.178452,562.161395,567.585586,572.593524,575.051015,577.157872,580.688537,583.854937,586.757401,589.459966,591.983447,594.311606,596.400912,598.193243
9,507.015792,515.982599,524.621413,532.904668,541.002801,548.509970,555.401495,561.710283,567.444514,572.593525,577.051016,578.962605,581.009836,584.268105,587.194645,589.886788,592.399435,594.743202,596.894291,598.806675,600.426381
10,513.982600,522.621414,530.904668,539.002801,546.694480,554.015815,560.687126,566.745290,572.201388,577.051017,580.962605,581.009837,584.303506,587.292725,589.983925,592.468622,594.791720,596.954156,598.925524,600.658152,602.102833
11,520.621414,528.904669,537.002802,544.694480,552.015816,559.091971,565.508710,571.282930,576.432546,580.962606,580.896822,584.303507,587.292726,589.983925,592.468622,594.791721,596.954156,598.925525,600.658153,602.102834,599.290002
12,526.904669,535.002802,542.694481,550.015816,557.091972,563.508710,569.282931,574.432547,578.962607,580.349905,583.268785,585.292727,587.983926,590.468623,592.791721,594.954157,596.925525,598.658153,600.102834,599.290002,600.103930
13,533.002802,540.694481,548.015817,555.091972,561.508711,567.282931,572.432547,576.962607,579.384643,583.268785,585.804469,586.047345,588.468623,590.791722,592.954157,594.925526,596.658153,598.102835,598.960491,600.103931,600.685877
14,538.694481,546.015817,553.091973,559.508711,565.282931,570.432548,574.962607,578.008675,582.207381,585.804469,588.047345,588.066720,589.647959,591.651144,593.513250,595.266371,596.899498,598.375886,599.650428,600.685877,601.160881
15,543.987868,551.091973,557.508711,563.282932,568.432548,572.962608,576.190881,580.753716,584.693845,588.047346,590.066721,589.896829,591.208865,592.999045,594.661877,596.233619,597.706285,599.045713,600.209223,601.160882,601.607133
16,544.872250,551.729474,557.915486,563.743417,569.174187,574.190881,578.849029,583.185252,586.913272,590.066721,591.896829,591.536318,592.638512,594.234433,595.713188,597.116960,598.442283,599.658480,600.725276,601.607134,602.051846
17,549.325021,555.915486,561.743417,567.174187,572.190881,576.849029,581.207432,585.356666,588.910077,591.896830,593.536318,592.957047,593.960071,595.385066,596.700792,597.954896,599.148317,600.253837,601.233442,602.051847,602.486674
18,553.324105,559.645301,565.174188,570.190882,574.849029,579.207433,583.356666,587.292544,590.695123,593.536319,594.957047,594.120843,595.158045,596.437432,597.614400,598.740267,599.819263,600.827075,601.727782,602.486675,602.887199
19,556.865745,562.934634,568.190882,572.849030,577.207433,581.356666,585.292544,588.979623,592.246673,594.957048,596.120843,595.002118,596.198016,597.357684,598.421416,599.442121,600.425935,601.350706,602.182385,602.887199,603.227789
20,559.979502,565.826262,570.849030,575.207433,579.356667,583.292545,586.979624,590.377705,593.525094,596.120845,597.002120,595.783123,597.045642,598.111523,599.087549,600.026616,600.935618,601.793840,602.568794,603.227790,603.491326
